Instância,Heurística,Min,Máx,Desvio,Tempo Médio,Solução Ótima
CCO1,Gulosa,456,456,0.0,0.0,"CTCO01,XDES02"
CCO1,Aleatória,456,456,0.0,0.0,"XDES02,CTCO01"
CCO1,SA,456,456,0.0,0.0148,"XDES02,CTCO01"
CCO1,ABC,456,456,0.0,0.0086,"XDES02,CTCO01"
CCO2,Gulosa,752,752,0.0,0.0,"CTCO04,XRSC01,MAT00B,CRSC05,XPAD01,XMCO01"
CCO2,Aleatória,752,752,0.0,0.0,"CTCO04,XMCO01,XRSC01,MAT00B,CRSC05,XPAD01"
CCO2,SA,752,752,0.0,0.0295,"XMCO01,XPAD01,CRSC05,XRSC01,CTCO04,MAT00B"
CCO2,ABC,752,752,0.0,0.0345,"MAT00B,CTCO04,CRSC05,XMCO01,XRSC01,XPAD01"
CCO3,Gulosa,652,652,0.0,0.0,"CTCO01,CRSC04,XDES02"
CCO3,Aleatória,361,652,79.9003,0.0,"XDES02,CTCO01,CRSC04"
CCO3,SA,627,652,4.5644,0.001,"CRSC04,CTCO01,XDES02"
CCO3,ABC,652,652,0.0,0.0122,"CTCO01,XDES02,CRSC04"
CCO4,Gulosa,437,437,0.0,0.0,"CMAC03,XDES02,CMAC05"
CCO4,Aleatória,437,437,0.0,0.0,"CMAC05,CMAC03,XDES02"
CCO4,SA,437,437,0.0,0.0179,"CMAC05,XDES02,CMAC03"
CCO4,ABC,437,437,0.0,0.0127,"CMAC05,XDES02,CMAC03"
CCO5,Gulosa,652,652,0.0,0.0,"CTCO01,CRSC04,XDES02"
CCO5,Aleatória,352,622,87.0999,0.0,"CTCO01,XDES04,CRSC04"
CCO5,SA,652,652,0.0,0.0012,"CTCO01,CRSC04,XDES02"
CCO5,ABC,652,652,0.0,0.0122,"CTCO01,CRSC04,XDES02"
SIN1,Gulosa,497,497,0.0,0.0,"XMAC01,SRSC03,XPAD01,XAHC01"
SIN1,Aleatória,366,541,55.7757,0.0,"SRSC03,XAHC01,IEPG14,XPAD01,IEPG10"
SIN1,SA,497,541,22.3263,0.0083,"IEPG14,IEPG10,XAHC01,SRSC03,XPAD01"
SIN1,ABC,522,541,3.4689,0.0172,"SRSC03,XPAD01,IEPG10,IEPG14,XAHC01"
SIN2,Gulosa,393,393,0.0,0.0,"XMAC01,SRSC03,SMAC03"
SIN2,Aleatória,285,392,26.4503,0.0,"SMAC03,XMAC01,XDES03"
SIN2,SA,392,393,0.1826,0.0018,"XMAC01,SMAC03,SRSC03"
SIN2,ABC,393,393,0.0,0.012,"XMAC01,SMAC03,SRSC03"
SIN3,Gulosa,426,426,0.0,0.0,"XPAD01,SRSC02,XMCO01,XAHC02"
SIN3,Aleatória,356,426,21.2792,0.0,"SRSC02,XAHC02,XPAD01,XMCO01"
SIN3,SA,426,426,0.0,0.005,"XAHC02,SRSC02,XPAD01,XMCO01"
SIN3,ABC,416,426,2.5371,0.0176,"XMCO01,SRSC02,XAHC02,XPAD01"
SIN4,Gulosa,393,393,0.0,0.0,"XMAC01,SRSC03,SMAC03"
SIN4,Aleatória,276,392,34.6941,0.0,"XAHC03,SRSC03,XMAC01"
SIN4,SA,393,393,0.0,0.002,"SMAC03,XMAC01,SRSC03"
SIN4,ABC,392,393,0.1826,0.014,"SMAC03,SRSC03,XMAC01"
SIN5,Gulosa,561,561,0.0,0.0,"XMAC02,XPAD01,SRSC02,IEPG14,XAHC02"
SIN5,Aleatória,396,616,54.2273,0.0,"XPAD01,SRSC02,XAHC02,IEPG10,ADM03E,IEPG14"
SIN5,SA,471,616,51.6901,0.0112,"XAHC02,ADM03E,IEPG14,IEPG10,SRSC02,XPAD01"
SIN5,ABC,597,616,5.7974,0.0259,"XPAD01,SRSC02,ADM03E,IEPG14,IEPG10,XAHC02"
