2016.1 | CIC130 | INTRODUÇÃO À CIÊNCIA DA COMPUTAÇÃO | CH: 32 | Freq: 93.8% | Nota: 6.3 | Situação: APR
2016.1 | CIC510 | FUNDAMENTOS DE FÍSICA PARA COMPUTAÇÃO | CH: 64 | Freq: 84.4% | Nota: 7.2 | Situação: APR
2016.1 | COM110 | FUNDAMENTOS DE PROGRAMAÇÃO | CH: 80 | Freq: 100.0% | Nota: 6.8 | Situação: APR
2016.1 | COM310 | METODOLOGIA CIENTÍFICA PARA INFORMÁTICA | CH: 32 | Freq: 87.5% | Nota: 6.1 | Situação: APR
2016.1 | MAT011 | GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR | CH: 64 | Freq: 100.0% | Nota: 1.4 | Situação: REP
2016.1 | MAT050 | FUNDAMENTOS DA MATEMÁTICA | CH: 64 | Freq: 100.0% | Nota: 6.0 | Situação: APR
2016.2 | CIC120 | ORGANIZAÇÃO E ARQUITETURA DE COMPUTADORES I | CH: 64 | Freq: 100.0% | Nota: 5.2 | Situação: REP
2016.2 | CIC310 | ECONOMIA DA INFORMAÇÃO | CH: 48 | Freq: 93.8% | Nota: 5.6 | Situação: REP
2016.2 | COM111 | ALGORITMOS E ESTRUTURAS DE DADOS I | CH: 96 | Freq: 89.6% | Nota: 2.0 | Situação: REP
2016.2 | LET007 | LIBRAS - LÍNGUA BRASILEIRA DE SINAIS | CH: 48 | Freq: 81.3% | Nota: 7.5 | Situação: APR
2016.2 | MAT001 | CÁLCULO I | CH: 96 | Freq: 100.0% | Nota: 3.5 | Situação: REP
2016.2 | MAT011 | GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR | CH: 64 | Freq: 100.0% | Nota: 1.2 | Situação: REP
2016.2 | MAT015 | MATEMÁTICA DISCRETA | CH: 64 | Freq: 98.3% | Nota: 0.8 | Situação: REP
2017.1 | CIC131 | LÓGICA PARA COMPUTAÇÃO | CH: 64 | Freq: 100.0% | Nota: 2.6 | Situação: REP
2017.1 | COM112 | ALGORITMO E ESTRUTURA DE DADOS II | CH: 80 | Freq: 88.0% | Nota: 2.2 | Situação: REP
2017.1 | COM210 | ENGENHARIA DE SOFTWARE I | CH: 80 | Freq: 100.0% | Nota: 6.0 | Situação: APR
2017.1 | COM230 | BANCO DE DADOS I | CH: 64 | Freq: 68.0% | Nota: 2.4 | Situação: REP
2017.1 | MAT011 | GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR | CH: 64 | Freq: 78.1% | Nota: 4.6 | Situação: REP
2017.2 | CIC110 | ANÁLISE E PROJETO DE ALGORITMOS I | CH: 64 | Freq: 81.0% | Nota: 1.7 | Situação: REP
2017.2 | CIC120 | ORGANIZAÇÃO E ARQUITETURA DE COMPUTADORES I | CH: 64 | Freq: 100.0% | Nota: 6.7 | Situação: APR
2017.2 | CIC310 | ECONOMIA DA INFORMAÇÃO | CH: 48 | Freq: 81.3% | Nota: 6.0 | Situação: APR
2017.2 | COM111 | ALGORITMOS E ESTRUTURAS DE DADOS I | CH: 96 | Freq: 69.2% | Nota: 1.9 | Situação: REP
2017.2 | MAT001 | CÁLCULO I | CH: 96 | Freq: 100.0% | Nota: 1.9 | Situação: REP
2017.2 | MAT057 | MATEMÁTICA DISCRETA | CH: 64 | Freq: 100.0% | Nota: 0.7 | Situação: REP
2018.1 | CIC121 | ORGANIZAÇÃO E ARQUITETURA DE COMPUTADORES II | CH: 64 | Freq: 100.0% | Nota: 7.1 | Situação: APR
2018.1 | CIC131 | LÓGICA PARA COMPUTAÇÃO | CH: 64 | Freq: 93.0% | Nota: 7.0 | Situação: APR
2018.1 | COM112 | ALGORITMO E ESTRUTURA DE DADOS II | CH: 80 | Freq: 83.1% | Nota: 8.2 | Situação: APR
